,_id,a_nick,a_score,away,h_nick,h_score,home,playoff,season,week_e,week_s
565,5ff7dac2c8ee41edffd6178d,Brando,89.04,Rise Up?,Tommy,55.24,The Horsegasms,2,2018,15,15
566,5ff7dac2c8ee41edffd6178e,Kindy,46.26,Brady's Balls: Truly Inflated,Frank,71.78,DR. SQUANCH,2,2018,15,15
567,5ff7dac2c8ee41edffd6178f,Ben,32.72,beckley poopers,Fonti,61.8,MR. TWO TIME! TWO TIME!,2,2018,15,15
568,5ff7dac2c8ee41edffd61791,Bye,0.0,Bye,Samik,73.6,Brady's Balls Brigade,1,2018,15,15
569,5ff7dac2c8ee41edffd6179a,Conti,99.9,VA Beach Warriors,Tarpey,133.14,Roll Safe,1,2018,17,17
570,5ff7dac2c8ee41edffd617a1,Frank,91.16,DR. SQUANCH,Tarpey,75.64,Roll Safe,0,2019,1,1
571,5ff7dac2c8ee41edffd6179e,Mildred,12.44,Mildred's Redskins,Kindy,56.14,Brady's Balls: Truly Inflated,2,2018,17,17
572,5ff7dac2c8ee41edffd61797,Jake,74.94,Dalvin Cook's Hamstrings,Fonti,107.56,MR. TWO TIME! TWO TIME!,2,2018,16,16
573,5ff7dac2c8ee41edffd61790,Mildred,48.18,Mildred's Redskins,Jake,75.68,Dalvin Cook's Hamstrings,2,2018,15,15
574,5ff7dac2c8ee41edffd61794,Sendzik,83.38,Sa lt,Tarpey,100.02,Roll Safe,1,2018,16,16
575,5ff7dac2c8ee41edffd61799,Mildred,49.18,Mildred's Redskins,Ben,29.34,beckley poopers,2,2018,16,16
576,5ff7dac2c8ee41edffd61798,Kindy,93.28,Brady's Balls: Truly Inflated,Tommy,58.94,The Horsegasms,2,2018,16,16
577,5ff7dac2c8ee41edffd61792,Bye,0.0,Bye,Tarpey,99.72,Roll Safe,1,2018,15,15
578,5ff7dac2c8ee41edffd6179f,Ben,39.94,beckley poopers,Tommy,107.88,The Horsegasms,2,2018,17,17
579,5ff7dac2c8ee41edffd61795,mballen,176.94,Greg Hardy Breakfast,Charles,151.74,Fear Boners,2,2018,17,16
580,5ff7dac2c8ee41edffd6179b,Sendzik,113.56,Sa lt,Samik,70.18,Brady's Balls Brigade,2,2018,17,17
581,5ff7dac2c8ee41edffd617a0,Jake,103.8,Dalvin Cook's Shoulder,Kindy,68.08,Brady's Balls: Truly Inflated,0,2019,1,1
582,5ff7dac2c8ee41edffd6179d,Jake,92.3,Dalvin Cook's Hamstrings,Brando,100.72,Rise Up?,2,2018,17,17
583,5ff7dac2c8ee41edffd61793,Conti,112.56,VA Beach Warriors,Samik,109.22,Brady's Balls Brigade,1,2018,16,16
584,5ff7dac2c8ee41edffd61796,Frank,117.38,DR. SQUANCH,Brando,93.26,Rise Up?,2,2018,16,16
585,5ff7dac2c8ee41edffd6179c,Fonti,64.08,MR. TWO TIME! TWO TIME!,Frank,85.1,DR. SQUANCH,2,2018,17,17
586,5ff7dac2c8ee41edffd617c3,Conti,104.5,VA Beach Warriors,Brad,120.74,SimsCity17: Top OfTheTannehill,0,2019,6,6
587,5ff7dac2c8ee41edffd617c6,Charles,60.94,Fear Boners,Sendzik,74.62,Sa lt,0,2019,6,6
588,5ff7dac2c8ee41edffd617ad,Tommy,71.5,The Horsegasms,mballen,55.32,Greg Hardy Breakfast,0,2019,2,2
589,5ff7dac2c8ee41edffd617ae,Charles,87.46,Fear Boners,Brando,91.02,Rise Up?,0,2019,3,3
590,5ff7dac2c8ee41edffd617a2,Sendzik,159.52,Sa lt,Conti,101.42,VA Beach Warriors,0,2019,1,1
591,5ff7dac2c8ee41edffd617b9,Conti,91.2,VA Beach Warriors,Jake,120.0,Dalvin Cook's Shoulder,0,2019,4,4
592,5ff7dac2c8ee41edffd617a7,Fonti,59.92,MR. TWO TIME! TWO TIME!,Charles,100.04,Fear Boners,0,2019,2,2
593,5ff7dac2c8ee41edffd617c8,Samik,62.76,Brady's Balls Brigade,Tarpey,96.42,Roll Safe,0,2019,6,6
594,5ff7dac2c8ee41edffd617bc,Tommy,117.84,The Horsegasms,Fonti,83.5,MR. TWO TIME! TWO TIME!,0,2019,5,5
595,5ff7dac2c8ee41edffd617a5,Brando,64.16,Rise Up?,Fonti,97.76,MR. TWO TIME! TWO TIME!,0,2019,1,1
596,5ff7dac2c8ee41edffd617c0,mballen,80.16,Greg Hardy Breakfast,Frank,118.2,DR. SQUANCH,0,2019,5,5
597,5ff7dac2c8ee41edffd617b8,Sendzik,70.4,Sa lt,Mildred,85.38,Mildred's Redskins,0,2019,4,4
598,5ff7dac2c8ee41edffd617be,Brad,73.04,SimsCity17: Top OfTheTannehill,Samik,125.02,Brady's Balls Brigade,0,2019,5,5
599,5ff7dac2c8ee41edffd617b7,Brad,92.18,SimsCity17: Top OfTheTannehill,Tommy,75.8,The Horsegasms,0,2019,4,4
600,5ff7dac2c8ee41edffd617c2,Brando,117.14,Rise Up?,Jake,131.42,Dalvin Cook's Shoulder,0,2019,5,5
601,5ff7dac2c8ee41edffd617ac,Mildred,72.46,Mildred's Redskins,Frank,99.8,DR. SQUANCH,0,2019,2,2
602,5ff7dac2c8ee41edffd617bf,Conti,135.64,VA Beach Warriors,Kindy,95.7,Brady's Balls: Truly Inflated,0,2019,5,5
603,5ff7dac2c8ee41edffd617b3,Samik,115.44,Brady's Balls Brigade,Sendzik,112.06,Sa lt,0,2019,3,3
604,5ff7dac2c8ee41edffd617b1,Brad,82.38,SimsCity17: Top OfTheTannehill,mballen,66.44,Greg Hardy Breakfast,0,2019,3,3
605,5ff7dac2c8ee41edffd617a9,Jake,105.5,Dalvin Cook's Shoulder,Samik,94.46,Brady's Balls Brigade,0,2019,2,2
606,5ff7dac2c8ee41edffd617c5,mballen,130.0,Greg Hardy Breakfast,Brando,79.0,Rise Up?,0,2019,6,6
607,5ff7dac2c8ee41edffd617bd,Tarpey,99.0,Roll Safe,Sendzik,110.74,Sa lt,0,2019,5,5
608,5ff7dac2c8ee41edffd617a3,mballen,62.1,Greg Hardy Breakfast,Mildred,100.92,Mildred's Redskins,0,2019,1,1
609,5ff7dac2c8ee41edffd617c9,Jake,108.6,Dalvin Cook's Shoulder,Mildred,59.42,Mildred's Redskins,0,2019,6,6
610,5ff7dac2c8ee41edffd617af,Frank,132.56,DR. SQUANCH,Kindy,75.98,Brady's Balls: Truly Inflated,0,2019,3,3
611,5ff7dac2c8ee41edffd617ab,Kindy,74.4,Brady's Balls: Truly Inflated,Sendzik,71.32,Sa lt,0,2019,2,2
612,5ff7dac2c8ee41edffd617b5,Kindy,96.14,Brady's Balls: Truly Inflated,Samik,43.5,Brady's Balls Brigade,0,2019,4,4
613,5ff7dac2c8ee41edffd617aa,Brad,99.48,SimsCity17: Top OfTheTannehill,Tarpey,123.12,Roll Safe,0,2019,2,2
614,5ff7dac2c8ee41edffd617c7,Frank,100.34,DR. SQUANCH,Tommy,62.3,The Horsegasms,0,2019,6,6
615,5ff7dac2c8ee41edffd617b6,Fonti,41.88,MR. TWO TIME! TWO TIME!,Frank,73.18,DR. SQUANCH,0,2019,4,4
616,5ff7dac2c8ee41edffd617b4,Conti,122.64,VA Beach Warriors,Fonti,122.4,MR. TWO TIME! TWO TIME!,0,2019,3,3
617,5ff7dac2c8ee41edffd617b2,Tommy,74.2,The Horsegasms,Mildred,95.5,Mildred's Redskins,0,2019,3,3
618,5ff7dac2c8ee41edffd617ba,mballen,90.96,Greg Hardy Breakfast,Charles,79.8,Fear Boners,0,2019,4,4
619,5ff7dac2c8ee41edffd617b0,Jake,120.14,Dalvin Cook's Shoulder,Tarpey,74.62,Roll Safe,0,2019,3,3
620,5ff7dac2c8ee41edffd617a4,Tommy,84.14,The Horsegasms,Samik,100.94,Brady's Balls Brigade,0,2019,1,1
621,5ff7dac2c8ee41edffd617a6,Charles,126.02,Fear Boners,Brad,114.46,SimsCity17: Top OfTheTannehill,0,2019,1,1
622,5ff7dac2c8ee41edffd617a8,Brando,65.62,Rise Up?,Conti,90.16,VA Beach Warriors,0,2019,2,2
623,5ff7dac2c8ee41edffd617c1,Mildred,70.42,Mildred's Redskins,Charles,70.56,Fear Boners,0,2019,5,5
624,5ff7dac2c8ee41edffd617c4,Kindy,91.1,Brady's Balls: Truly Inflated,Fonti,67.7,MR. TWO TIME! TWO TIME!,0,2019,6,6
625,5ff7dac2c8ee41edffd617bb,Tarpey,107.98,Roll Safe,Brando,75.0,Rise Up?,0,2019,4,4
626,5ff7dac2c8ee41edffd617ca,Sendzik,108.38,Sa lt,Jake,69.14,Dalvin Cook's Shoulder,0,2019,7,7
627,5ff7dac2c8ee41edffd617cb,Frank,60.96,DR. SQUANCH,Brando,69.06,Rise Up?,0,2019,7,7
628,5ff7dac2c8ee41edffd617e5,Sendzik,135.44,Sa lt,Kindy,87.76,Brady's Balls: Truly Inflated,0,2019,10,10
