,_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
240,G0241,Call of Duty: Black Ops II,,360,FPS,N,Beaten,204.0,2.0,Actual,,,,,"Master Prestige, Rank 6 Silver. I love CoD."
241,G0242,Call of Duty: Modern Warfare 2,,360,FPS,N,Beaten,11.0,14.0,Actual,,,,,Woohoo! Black Ops and MW3 are still my games of choice.
242,G0243,Call of Duty: Modern Warfare 3,,360,FPS,N,Beaten,151.0,13.0,Actual,,,,,"6th prestige, level 41. Really cool campaign. Can''t wait to finish the first two games now so I know what just happened. XD"
243,G0244,Devil May Cry 4,,360,Hack & Slash,N,Infinite,,,,,,,,"Let my cousin play it and now I can''t find it!? T_T Might need to rebuy. Just from what I gathered watching my cousin play, the game is fantastic."
244,G0245,DiRT,,360,Racing,N,Completed,16.0,38.0,Actual,,,,,ONE THOUSAND MILES.Actually turned out to be pretty fantastic once it grew on me. Screw Rally Raid. XD 
245,G0246,DiRT 2,,360,Racing,N,Completed,20.0,0.0,Actual,,,,,"Missions with Brando. XD After playing, 3, Showdown, and 1 in that order, 2 might actually be my favorite of them all. Even though I love all 4 in the series."
246,G0247,DiRT 3,,360,Racing,N,Completed,67.0,13.0,Actual,,,,,"Rep 30, Fanbase 40. The best racing game I''ve played in a long, long time."
247,G0248,DiRT Showdown,,360,Racing,N,Completed,40.0,5.0,Actual,,,,,"Racenet Team Championship. DiRT 3 definitely wins for realistic car control, but the fireworks and amazing gameplay make me fall in love with this spinoff. Another awesome racing game."
248,G0249,Final Fantasy XIII,,360,JRPG,N,Completed,109.0,28.0,Actual,2013-07-15 16:00:00,2013-07-15 16:00:00,2013-07-15 16:00:00,2013-07-15 16:00:00,"Treasure Hunter was merciless. I can''t even begin to describe how much I love this game. Everyone hated on the open world, but I thought the story should have more than made up for it, and I actually kinda liked the linearity."
249,G0250,Final Fantasy XIII-2: Collector's Edition,,360,JRPG,N,Completed,62.0,26.0,Actual,,,,,1000 GS and 160 fragments in 62:26:16! :D
250,G0251,Forza Horizon,,360,Racing,N,Completed,28.0,50.0,Actual,2012-12-03 16:00:00,2012-12-03 16:00:00,2012-12-05 16:00:00,2012-12-07 16:00:00,"Yellow 25 in multiplayer. Horrible collision, excellent and fun game, DLC costs way too much and I''m not paying for it."
251,G0252,Marvel vs. Capcom 3: Fate of Two Worlds,,360,Fighting,N,Beaten,31.0,14.0,Actual,,,,,"Beat Arcade mode on Easy :P Worst game ever. Trololololololol XD such a rage game. Blast with friends, it''s really that simple. This game can and will make you hate things though."
252,G0253,Street Fighter IV,,360,Fighting,N,Beaten,,,,,,,,Beat arcade mode or something. Bleh. Not really a Street Fighter kind of player. It's an okay game. More fun to watch high-level players.
253,G0254,Tekken 6,,360,Fighting,N,Beaten,0.0,31.0,Actual,,,,,"Beat something. Bleh, I''m not much of a Tekken player. But I love Eddy!"
254,G0255,Ultimate Marvel vs. Capcom 3,,360,Fighting,N,Beaten,5.0,12.0,Actual,,,,,I don't play this game. XD RAGE.
255,G0256,Virtua Tennis 3,,360,Sports,N,Beaten,13.0,9.0,Actual,,,,,"#1 Rank! :D Still need the other half of the achievements. I actually prefer the gameplay of the original Virtua Tennis for Dreamcast, but the career mode in this game is quite well done."
256,G0257,Wii Fit Plus,,Wii,Simulation,N,Infinite,32.0,52.0,Actual,2010-01-01 16:00:00,2010-01-01 16:00:00,2010-01-01 16:00:00,2010-01-01 16:00:00,
257,G0258,Crazy Taxi,,XBLA,Racing,N,Completed,,,,,,,,
