,_id,add_date,beat_date,complete_date,dlc,game_hours,game_minutes,game_notes,game_status,game_system,game_title,genre,now_playing,playtime_calc,start_date,sub_title
355,6007bab2a5cefca6c9947f04,2013-01-29 16:00:00,2013-02-06 16:00:00,,N,10.0,47.0,,Beaten,VCH,Metroid Fusion,Metroidvania,N,Actual,2013-01-29 16:00:00,
356,6007bab2a5cefca6c9947f05,2013-11-01 16:00:00,2013-11-06 16:00:00,2014-01-27 16:00:00,N,,,Hard Arcade mode. Shmup with streetpasses. PERFECT.,Completed,3DS,Mii Force,Shoot 'em up,N,,2013-11-01 16:00:00,
357,6007bab2a5cefca6c9947f07,,,,N,,,,Beaten,VCH,NES Open Tournament Golf,Sports,N,,,
358,6007bab2a5cefca6c9947f06,2013-11-01 16:00:00,2013-12-05 16:00:00,2014-03-17 16:00:00,N,,,Thanks BB!,Completed,3DS,Monster Manor,Puzzle,N,,2013-11-01 16:00:00,
359,6007bab2a5cefca6c9947f08,2014-12-02 16:00:00,2015-04-04 16:00:00,,N,26.0,57.0,Battle Resort! Champion in 17:00!,Beaten,3DS,Pokemon Omega Ruby,RPG,N,Actual,2014-12-02 16:00:00,
360,6007bab2a5cefca6c9947f0a,2013-02-06 16:00:00,2013-02-06 16:00:00,2013-02-06 16:00:00,N,,,,Completed,VCH,Super Mario Bros.,Platformer,N,,2013-02-06 16:00:00,
361,6007bab2a5cefca6c9947f09,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-11-13 16:00:00,N,188.0,,929/929.,Completed,3DS,Puzzle Swap,Puzzle,N,Actual,2013-07-10 16:00:00,
362,6007bab2a5cefca6c9947f0b,,,,N,7.0,11.0,,Beaten,VCH,The Legend of Zelda,Action-adventure,N,Actual,,
363,6007bab2a5cefca6c9947f0d,,,,N,13.0,18.0,,Beaten,VCH,The Legend of Zelda: The Minish Cap,Action-adventure,N,Actual,,
364,6007bab2a5cefca6c9947f0c,,,,N,18.0,51.0,"Silver keys + 5 medals. You don''t know how many medals of courage I stole from people as a 5th grader. XD So when I realized that this was a FREE DOWNLOAD, I freaked out. One of the best multiplayer games ever.",Beaten,3DS,The Legend of Zelda: Four Swords 25th Anniversary Edition,Action-adventure,N,Actual,,
365,6007bab2a5cefca6c9947f10,,,,N,,,,Beaten,VCH,"Wario Ware, Inc. Mega Microgame$!",Rhythm,N,,,
366,6007bab2a5cefca6c9947f0f,2012-12-07 16:00:00,,,N,8.0,28.0,,Beaten,VCH,Wario Land 4,Platformer,N,Actual,2012-12-07 16:00:00,
367,6007bab2a5cefca6c9947f0e,2015-11-18 16:00:00,2015-11-18 16:00:00,,N,16.0,23.0,Outfits.,Beaten,3DS,The Legend of Zelda: Tri-Force Heroes,Action-adventure,N,Actual,2015-11-18 16:00:00,
368,6007bab2a5cefca6c9947f11,2013-11-01 16:00:00,2013-11-29 16:00:00,2014-09-12 16:00:00,N,,,IT'S OVER.,Completed,3DS,Warrior's Way,Simulation,N,,2013-11-01 16:00:00,
369,6007bab2a5cefca6c9947f13,,,,N,,,,Infinite,VCH,Yoshi,Puzzle,N,,,
370,6007bab2a5cefca6c9947f12,,,,N,,,,Infinite,VCH,Wrecking Crew,Platformer,N,,,
371,6007bab2a5cefca6c9947f15,,,,N,7.0,54.0,,Beaten,VCH,Zelda II: The Adventure of Link,Action-adventure,N,Actual,,
372,6007bab2a5cefca6c9947f19,2012-12-11 16:00:00,2013-02-14 16:00:00,,N,11.0,18.0,"I''ve never played a game like this before, and it was very, very sweet.",Beaten,360,Assassin's Creed III,Stealth,N,Actual,2012-12-26 16:00:00,
373,6007bab2a5cefca6c9947f18,2012-11-28 16:00:00,,,N,,,,Beaten,XBLA,Hexic HD,Puzzle,N,,,
374,6007bab2a5cefca6c9947f16,,,,N,,,,Beaten,PS3,Asura's Wrath,Beat 'em up,N,,,
375,6007bab2a5cefca6c9947f14,2012-12-21 16:00:00,2012-12-21 16:00:00,,N,7.0,47.0,,Beaten,VCH,Yoshi's Island: Super Mario Advance 3,Platformer,N,Actual,2012-12-21 16:00:00,
376,6007bab2a5cefca6c9947f17,,,,N,,,,Beaten,PS3,Twisted Metal,Vehicular combat,N,,,
377,6007bab2a5cefca6c9947f1c,2012-12-20 16:00:00,,,N,,,,Completed,GBA,Super Mario Advance: Super Mario Bros. 2,Platformer,N,,,
378,6007bab2a5cefca6c9947f1b,2012-12-20 16:00:00,,,N,,,,Beaten,SNES,Kirby's Avalanche,Puzzle,N,,,
379,6007bab2a5cefca6c9947f1a,2012-12-20 16:00:00,,,N,,,,Beaten,SNES,Donkey Kong Country,Platformer,N,,,
380,6007bab2a5cefca6c9947f1e,2012-12-20 16:00:00,,,N,,,,Completed,NES,Super Mario Bros. 3,Platformer,N,,,
381,6007bab2a5cefca6c9947f1d,2012-12-20 16:00:00,,,N,,,,Completed,NES,Super Mario Bros. 2,Platformer,N,,,
382,6007bab2a5cefca6c9947f20,2012-12-25 16:00:00,2013-01-01 16:00:00,2013-01-03 16:00:00,N,29.0,4.0,8/8 super flags in 29:04! Absolute joy to play. Paper Mario strikes again!,Completed,3DS,Paper Mario: Sticker Star,RPG,N,Actual,2012-12-25 16:00:00,
383,6007bab2a5cefca6c9947f1f,2012-12-20 16:00:00,,,N,,,,Completed,SNES,Super Mario World 2: Yoshi's Island,Platformer,N,,,
384,6007bab2a5cefca6c9947f39,2013-07-26 16:00:00,2013-08-02 16:00:00,,N,5.0,30.0,"Fun stuff! Gonna work on completion soon. Typical Sonic game. Pretty easy to learn, hard to master. This one''s a bit generous in terms of difficulty, but extremely fun and something I look forward to playing again.",Beaten,360,Sonic Generations,Platformer,N,Actual,2013-08-01 16:00:00,
385,6007bab2a5cefca6c9947f2b,2013-04-01 16:00:00,2013-06-05 16:00:00,2013-06-07 16:00:00,N,28.0,30.0,Level 23 multiplayer. Other than Virgin Media Endurance on Very Hard (aka impossible) this was a very enjoyable game. Time to wait for DiRT 4!,Completed,360,GRID 2,Racing,N,Actual,2013-05-28 16:00:00,
386,6007bab2a5cefca6c9947f31,2013-07-10 16:00:00,,,N,,,,Infinite,PC,Audiosurf,Rhythm,N,,,
387,6007bab2a5cefca6c9947f30,2013-07-08 16:00:00,,,N,,,,Infinite,PC,TrackMania Nations Forever,Racing,N,,,
388,6007bab2a5cefca6c9947f32,2013-07-10 16:00:00,,,N,,,,Infinite,PC,Combat Arms,FPS,N,,,
389,6007bab2a5cefca6c9947f29,2013-03-29 16:00:00,2013-04-07 16:00:00,,N,,,,Beaten,Steam,DiRT 2,Racing,N,,2013-04-07 16:00:00,
390,6007bab2a5cefca6c9947f25,2013-02-14 16:00:00,,,N,,,,Infinite,PC,Superstar V8 Next Challenge,Racing,N,,,
391,6007bab2a5cefca6c9947f21,2012-12-26 16:00:00,2013-01-16 16:00:00,,N,,,Won R1 championship. Very solid racing game. Nearly perfect...just needs more track variety. Got very stale after season 3.,Beaten,360,Forza Motorsport 3,Racing,N,,2013-01-16 16:00:00,
392,6007bab2a5cefca6c9947f3d,2013-08-15 16:00:00,2013-09-08 16:00:00,,N,,,,Beaten,Steam,Burnout Paradise: The Ultimate Box,Racing,N,,2013-08-17 16:00:00,
393,6007bab2a5cefca6c9947f3c,2013-08-14 16:00:00,,,N,,,,Infinite,Steam,DOTA 2,MOBA,N,,,
394,6007bab2a5cefca6c9947f2f,2013-07-07 16:00:00,2013-12-07 16:00:00,2014-01-29 16:00:00,N,183.0,45.0,Level 56 Gunzerker.,Completed,360,Borderlands 2,FPS,N,Actual,2013-07-12 16:00:00,
395,6007bab2a5cefca6c9947f24,2013-02-08 16:00:00,,,N,,,,Infinite,PC,Zombies.,Action,N,,,
396,6007bab2a5cefca6c9947f28,2013-03-23 16:00:00,,,N,,,,Infinite,PC,Tetris Battle,Puzzle,N,,,
397,6007bab2a5cefca6c9947f2a,2013-04-01 16:00:00,2013-07-16 16:00:00,,N,,,"Finished the game on Casual. Man...Casual was plenty tough enough for me. XD Great game, makes me want to play the sequels...",Beaten,360,Gears of War,TPS,N,,2013-07-10 16:00:00,
398,6007bab2a5cefca6c9947f41,2013-09-20 16:00:00,2013-09-25 16:00:00,2013-09-27 16:00:00,N,,,,Completed,Steam,PAC-MAN Championship Edition DX+,Maze,N,,2013-09-25 16:00:00,
399,6007bab2a5cefca6c9947f38,2013-07-16 16:00:00,2013-11-04 16:00:00,,N,10.0,37.0,"AC3 is better, but this was a fantastic game as well. ^_^",Beaten,360,Assassin's Creed II,Stealth,N,Actual,2013-08-15 16:00:00,
400,6007bab2a5cefca6c9947f3f,2013-08-15 16:00:00,2013-10-05 16:00:00,,N,,,,Beaten,Steam,Mirror's Edge,Platformer,N,,2013-09-24 16:00:00,
401,6007bab2a5cefca6c9947f48,2013-11-24 16:00:00,2013-11-24 16:00:00,,N,,,,Beaten,Steam,Pinball FX2,Pinball,N,,2013-11-24 16:00:00,Marvel Pinball: Original Pack
402,6007bab2a5cefca6c9947f2d,2013-04-19 16:00:00,2013-04-21 16:00:00,2014-04-24 16:00:00,N,19.0,58.0,,Completed,XBLA,Trials Evolution,Racing,N,Actual,2013-04-21 16:00:00,
403,6007bab2a5cefca6c9947f3a,2013-08-02 16:00:00,2013-08-31 16:00:00,,N,,,"Thanks for the help Alex! Pretty fun game, if not a bit frustrating at times.",Beaten,360,Crackdown,TPS,N,,2013-08-31 16:00:00,
404,6007bab2a5cefca6c9947f22,2013-01-29 16:00:00,2013-02-24 16:00:00,2013-02-24 16:00:00,N,,,,Completed,Steam,Half-Life 2: Lost Coast,FPS,N,,2013-02-24 16:00:00,
405,6007bab2a5cefca6c9947f46,2013-11-24 16:00:00,2013-11-24 16:00:00,,N,,,,Beaten,Steam,Pinball FX2,Pinball,N,,2013-11-24 16:00:00,Epic Quest Table
406,6007bab2a5cefca6c9947f3b,2013-08-04 16:00:00,2013-08-05 16:00:00,2014-04-27 16:00:00,N,,,,Completed,Steam,Super Meat Boy,Platformer,N,,2013-08-05 16:00:00,
407,6007bab2a5cefca6c9947f26,2013-02-17 16:00:00,2013-02-17 16:00:00,,N,,,,Beaten,XBLA,Mega Man 10,Platformer,N,,2013-02-17 16:00:00,
408,6007bab2a5cefca6c9947f33,2013-07-10 16:00:00,,,N,,,,Beaten,PC,Grand Chase,MMORPG,N,,,
409,6007bab2a5cefca6c9947f36,2013-07-10 16:00:00,,,N,,,,Infinite,PC,Stepmania,Rhythm,N,,,
410,6007bab2a5cefca6c9947f47,2013-11-24 16:00:00,2013-11-24 16:00:00,,N,,,,Beaten,Steam,Pinball FX2,Pinball,N,,2013-11-24 16:00:00,Marvel Pinball: Avengers Chronicles Pack
411,6007bab2a5cefca6c9947f3e,2013-08-15 16:00:00,2013-09-24 16:00:00,,N,,,,Beaten,Steam,Medal of Honor,FPS,N,,2013-09-22 16:00:00,
412,6007bab2a5cefca6c9947f2e,2013-06-07 16:00:00,2013-10-04 16:00:00,,N,,,,Infinite,Steam,Torchlight II,Action RPG,N,,2013-06-09 16:00:00,
