,_id,away_key,home_key,home_win_chance_max,home_win_chance_median,home_win_chance_medium,home_win_chance_mild,max_margin_bottom,max_margin_top,median_margin,median_margin_bottom,median_margin_top,medium_margin_bottom,medium_margin_top,mild_margin_bottom,mild_margin_top,season
713,604ecf83f4ec06d8701eeb64,NCG,MHST,0.519,0.5458715596330275,0.5311355311355311,0.5290806754221389,-47,41,1,-3,4,-17,20,-9,10,2021
714,604ecf8bed99353dc9f0c25b,NCG,APPLST,0.465,0.3486238532110092,0.453646477132262,0.436046511627907,-45,45,-2,-5,3,-21,17,-11,9,2021
715,604ecf8c19c4dcf7ed44c55a,NCG,CLVST,0.384,0.0,0.3567110036275695,0.26990291262135924,-49,44,-4,-8,-1,-22,14,-13,6,2021
716,604ecf9a846b888c6d250bae,NCG,OKL,0.741,1.0,0.7965686274509803,0.9590316573556797,-41,48,10,6,14,-10,28,-1,20,2021
717,604ecfa534ebea6ab47ec4ec,NCG,TXS,0.176,0.0,0.10123456790123457,0.0,-56,23,-14,-18,-10,-32,4,-23,-4,2021
718,604ecfa836da51554e0a9b73,NCG,VIR,0.88,1.0,0.9702970297029703,1.0,-26,66,16,13,20,-2,33,8,25,2021
719,604ecfae17ee14c15310f09b,NCG,CREIGH,0.817,1.0,0.8899876390605687,1.0,-32,61,13,9,17,-6,30,3,23,2021
720,604ecfb9150d29ba50b05385,NCG,USC,0.787,1.0,0.8532675709001233,1.0,-39,58,11,8,15,-7,29,2,21,2021
721,604ecfcb683058f644d728fc,NCG,ORE,0.774,1.0,0.8388278388278388,1.0,-39,66,11,8,14,-7,30,1,20,2021
722,604ecfce9283dd1bcae456d0,NCG,KAN,0.813,1.0,0.8872366790582404,1.0,-41,59,12,8,15,-6,29,3,21,2021
723,604ecff9bcc2efd67b69d3f2,NCG,MICH,0.883,1.0,0.9788029925187033,1.0,-30,64,17,13,20,-1,36,8,27,2021
724,604ed005bec74c303f05fd4c,NCG,FLST,0.655,1.0,0.6877278250303767,0.7879924953095685,-38,48,5,2,9,-14,24,-5,15,2021
725,604ed005b1ae8f3c65bc53b5,NCG,IOWA,0.961,1.0,1.0,1.0,-19,75,24,21,28,6,44,16,34,2021
726,604ed00bb46b3b8f16e28aa8,NCG,LSU,0.844,1.0,0.9303482587064676,1.0,-28,66,15,11,19,-4,32,5,24,2021
727,604ed011a5b111c6175c1c2b,NCG,BYU,0.779,1.0,0.8475836431226765,1.0,-35,61,11,7,14,-7,29,2,20,2021
728,604ed014af04d8ab736c5f98,NCG,TX,0.746,1.0,0.8014705882352942,0.936247723132969,-34,57,9,6,13,-8,28,-1,19,2021
729,604ed015098d806f1fe0cbcf,NCG,UCONN,0.631,1.0,0.6633906633906634,0.7485928705440901,-41,52,5,1,8,-13,22,-5,14,2021
730,604ed03468bad4c1e0ff0d00,NCG,COL,0.82,1.0,0.8960880195599022,1.0,-33,56,12,9,15,-5,29,4,21,2021
731,604ed054064ea3d113421d80,NCG,VILL,0.83,1.0,0.9058240396530359,1.0,-36,65,14,11,17,-5,31,5,24,2021
732,604ed06630e94052f93b6996,NCG,BAYL,0.766,1.0,0.8314745972738538,1.0,-33,59,10,7,14,-7,29,1,20,2021
733,604ed076b0c99457d5146614,NCG,ALA,0.76,1.0,0.8211180124223603,1.0,-37,58,11,7,14,-8,28,1,20,2021
734,604ed0795a0a9cf0e7e64f45,NCG,PUR,0.795,1.0,0.8603213844252163,1.0,-40,53,12,8,15,-7,30,2,21,2021
735,604ed088ca498370b87e61cf,NCG,NCAR,0.69,1.0,0.7267156862745098,0.868421052631579,-37,49,7,3,10,-12,24,-3,16,2021
736,604ed0a76a788db77527649e,NCG,TXTECH,0.708,1.0,0.7561881188118812,0.9171483622350675,-34,51,8,5,11,-12,25,-2,18,2021
737,604ed0ba218e0f290eafda1e,NCG,OKST,0.784,1.0,0.8509852216748769,1.0,-39,59,11,7,14,-8,29,2,20,2021
738,604ed0c006cbaf2d89db93bd,NCG,OHIOST,0.892,1.0,0.9900744416873449,1.0,-22,62,17,14,20,-1,34,8,26,2021
739,604ed0c6885ef364ac1eec44,NCG,ILL,0.935,1.0,1.0,1.0,-22,70,21,18,25,3,40,12,32,2021
740,604ed0cafe67c57c73e8a52f,NCG,FL,0.658,1.0,0.7012345679012346,0.7944954128440367,-42,47,6,3,9,-12,24,-4,16,2021
741,604ed0dafe569958bc37f717,NCG,ARK,0.802,1.0,0.8742216687422167,1.0,-27,56,12,8,15,-6,30,3,21,2021
742,604ed0deed99353dc9f0c26b,NCG,HOU,0.777,1.0,0.8384710234278668,1.0,-46,50,10,7,13,-8,28,2,20,2021
743,604ed0ef19c38afc7133e323,NCG,SDST,0.63,1.0,0.6617826617826618,0.7386363636363636,-39,50,5,1,8,-14,23,-6,14,2021
744,604ed0f555ce06319b0082e2,ABCHR,MARY,0.967,1.0,1.0,1.0,-18,71,26,22,29,7,44,16,36,2021
745,604ed0fb63eaa7765ecf32e7,NCG,LOYCH,0.734,1.0,0.7917705735660848,0.9315589353612167,-40,49,8,5,12,-10,25,-2,17,2021
746,604ed112b01f659a7a6c5f98,ABCHR,UTAHST,0.89,1.0,0.987546699875467,1.0,-25,61,17,14,20,-1,34,8,26,2021
747,604ed113150d29ba50b05395,ABCHR,NTX,0.897,1.0,0.9840490797546012,1.0,-29,58,16,12,20,-1,35,7,26,2021
748,604ed11919c4dcf7ed44c56a,NCG,CLMSN,0.618,1.0,0.6403402187120292,0.7272727272727273,-34,57,5,1,9,-15,23,-6,14,2021
749,604ed121cfabe84fa1d729fc,ABCHR,WISC,0.973,1.0,1.0,1.0,-20,78,28,24,31,8,47,18,38,2021
750,604ed12dbec74c303f05fd5c,ABCHR,IONA,0.397,0.0,0.36964504283965727,0.3052434456928839,-46,40,-4,-8,-1,-23,14,-14,6,2021
751,604ed13e3549d68b832b0a97,NCG,WVIR,0.714,1.0,0.7597560975609756,0.9013539651837524,-37,57,9,5,11,-10,26,-2,17,2021
752,604ed144d0bc91c239343ac7,ABCHR,HARTFD,0.546,0.7511520737327189,0.5573170731707318,0.5642458100558659,-36,63,2,-2,6,-17,21,-9,12,2021
753,604ed1542f5a8f3b7c8249cf,ABCHR,WINTH,0.577,0.8811881188118812,0.6022167487684729,0.6400778210116731,-43,51,3,-1,6,-16,22,-8,12,2021
754,604ed1665722a7e303a47693,ABCHR,COLG,0.692,1.0,0.7351485148514851,0.8840864440078585,-37,53,7,4,12,-9,26,-2,18,2021
755,604ed16ab1ae8f3c65bc53c5,ABCHR,VTECH,0.882,1.0,0.9763681592039801,1.0,-27,58,17,14,21,-2,35,7,26,2021
756,604ed1815036e38c365ebce0,ABCHR,DREXEL,0.695,1.0,0.7376237623762376,0.8560606060606061,-35,58,7,4,11,-11,25,-4,17,2021
757,604ed18ca7948b7229133420,ABCHR,OREGST,0.874,1.0,0.9633699633699634,1.0,-31,66,16,12,19,-3,35,6,25,2021
758,604ed1bdd5771a2b06f79d3b,ABCHR,ORAL,0.838,1.0,0.9144981412639405,1.0,-34,59,15,12,19,-5,34,6,25,2021
759,604ed1be25cc2d859f250a8e,ABCHR,MHST,0.755,1.0,0.8095808383233533,1.0,-38,45,10,7,14,-8,29,1,19,2021
760,604ed1bf43cc245f245c1d4b,ABCHR,GTECH,0.937,1.0,1.0,1.0,-23,68,24,20,27,5,41,13,33,2021
761,604ed1c646047f6a29e0cb7f,ABCHR,DRAKE,0.918,1.0,1.0,1.0,-30,67,19,16,23,2,38,10,29,2021
762,604ed1ca6631cba208a4a024,ABCHR,SYRA,0.96,1.0,1.0,1.0,-27,92,24,21,27,7,42,14,33,2021
763,604ed1cdbcc2efd67b69d402,ABCHR,LIBRTY,0.873,1.0,0.9545454545454546,1.0,-28,67,16,13,20,-3,36,7,26,2021
764,604ed20833a0a8de0d6c5ff8,ABCHR,VIR,0.968,1.0,1.0,1.0,-19,72,27,23,31,9,45,17,37,2021
