test,SeasonTeamID,AdjD,AdjEM,AdjO,AdjT,Conf,Conference,GlobalTeamID,Key,L,Luck,NCAdjEM,Name,OppAdjEM,OppD,OppO,Rk,School,Season,ShortDisplayName,Stadium,TeamLogoUrl,W
76,600000762021,100.0,-7.11,92.9,69.6,BSky,Big Sky,60000076,PORTST,0,-0.135,5.65,Vikings,-4.31,104.4,100.1,258,Portland State,2021,PORTST,"{'StadiumID': 174, 'Active': True, 'Name': 'Viking Pavilion', 'Address': None, 'City': 'Portland', 'State': 'OR', 'Zip': None, 'Country': None, 'Capacity': 3094}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/76.png,0
77,600000812021,99.9,1.06,100.9,70.9,SB,Sun Belt,60000081,COAST,0,-0.081,-13.06,Chanticleers,-6.37,105.0,98.6,175,Coastal Carolina,2021,COAST,"{'StadiumID': 220, 'Active': True, 'Name': 'The HTC Center', 'Address': None, 'City': 'Conway', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 3212}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/81.png,0
78,600000792021,112.5,-14.09,98.4,64.2,BSky,Big Sky,60000079,NARZ,0,0.038,11.46,Lumberjacks,0.05,102.3,102.3,326,Northern Arizona,2021,NARZ,"{'StadiumID': 151, 'Active': True, 'Name': 'J. Lawrence Walkup Skydome', 'Address': None, 'City': 'Flagstaff', 'State': 'AZ', 'Zip': None, 'Country': None, 'Capacity': 3300}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/79.png,0
79,600000752021,104.9,-5.91,98.9,68.2,BSky,Big Sky,60000075,NCOL,0,-0.004,13.52,Bears,-3.76,103.6,99.8,247,Northern Colorado,2021,UNCO,"{'StadiumID': 207, 'Active': True, 'Name': 'Bank of Colorado Arena', 'Address': None, 'City': 'Greeley', 'State': 'CO', 'Zip': None, 'Country': None, 'Capacity': 2734}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/75.png,0
80,600000772021,110.0,-7.53,102.5,65.6,BSky,Big Sky,60000077,SACST,0,-0.03,3.15,Hornets,-1.0,103.1,102.1,260,Sacramento State,2021,SACST,"{'StadiumID': 278, 'Active': True, 'Name': 'The Nest', 'Address': None, 'City': 'Sacramento', 'State': 'CA', 'Zip': None, 'Country': None, 'Capacity': 1012}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/77.png,0
81,600000832021,104.5,0.66,105.2,67.0,BSth,Big South,60000083,GARDWB,0,-0.165,12.58,Runnin' Bulldogs,-3.85,104.0,100.2,179,Gardner-Webb,2021,GARDWB,"{'StadiumID': 334, 'Active': True, 'Name': 'Paul Porter Arena', 'Address': None, 'City': 'Boiling Springs', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 3500}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/83.png,0
82,600000842021,101.0,9.8,110.8,63.1,ASun,Atlantic Sun,60000084,LIBRTY,0,-0.013,1.17,Flames,-6.63,105.1,98.5,97,Liberty,2021,LIBERTY,"{'StadiumID': 493, 'Active': True, 'Name': 'Liberty Arena', 'Address': None, 'City': 'Lynchburg', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 4000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/84.png,0
83,600000852021,106.2,-9.31,96.9,66.4,BSth,Big South,60000085,HPNT,0,-0.033,0.29,Panthers,-4.73,104.4,99.7,281,High Point,2021,HIGHPT,"{'StadiumID': 494, 'Active': True, 'Name': 'Nido and Mariana Qubein Arena', 'Address': None, 'City': 'High Point', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 4200}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
84,600000822021,95.4,10.37,105.8,73.6,BSth,Big South,60000082,WINTH,0,0.032,3.95,Eagles,-6.45,105.3,98.8,91,Winthrop,2021,WINTH,"{'StadiumID': 398, 'Active': True, 'Name': 'Winthrop Coliseum', 'Address': None, 'City': 'Rock Hill', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 6100}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
85,600000862021,103.7,-5.26,98.4,63.8,BSth,Big South,60000086,RADF,0,0.023,8.14,Highlanders,-4.52,104.5,99.9,235,Radford,2021,RADF,"{'StadiumID': 135, 'Active': True, 'Name': 'Donald N. Dedmon Center', 'Address': None, 'City': 'Radford', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 3215}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
86,600000872021,104.0,-5.32,98.7,65.3,BSth,Big South,60000087,LONGWD,0,-0.025,1.92,Lancers,-4.65,104.6,99.9,238,Longwood,2021,LONGWD,"{'StadiumID': 335, 'Active': True, 'Name': 'Willett Hall', 'Address': None, 'City': 'Farmville', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 1900}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
