,StatID,Assists,BlockedShots,DefensiveRebounds,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,Minutes,Name,OffensiveRebounds,PersonalFouls,PlayerID,Points,Position,Rebounds,Season,SeasonType,Steals,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ft_chance,three_chance,two_attempt_chance,two_chance
48,554176,43,8,86,629.9,686.5,629.9,332,141,42.5,92,62,67.4,30,1005,Sacar Anim,36,56,60000410,393,G-F,122,2020,1,31,MARQ,65,125,49,39.2,52,207,92,44.4,0.6739130616,0.3919999897,0.6234939694,0.4444444478
49,554149,72,3,98,346.0,383.0,346.0,95,31,32.6,20,12,60.0,30,631,Tracy Hector,22,53,60000977,84,F,120,2020,1,28,FLGC,38,33,10,30.3,52,62,21,33.9,0.6000000238,0.3030303121,0.6526315808,0.3387096822
50,557590,5,15,81,373.9,395.25,373.9,124,61,49.2,67,48,71.6,31,512,Eric Hamilton,56,60,60000380,170,F,137,2020,1,11,PITT,28,3,0,0.0,20,121,61,50.4,0.7164179087,0.0,0.9758064747,0.5041322112
51,555409,19,8,90,506.3,559.25,506.3,247,107,43.3,57,52,91.2,33,704,Lamont West,39,65,60000157,312,F,129,2020,1,21,MSRST,208,139,46,33.1,47,108,61,56.5,0.9122806787,0.3309352398,0.4372469783,0.564814806
52,554499,51,8,109,690.3,735.0,690.3,327,152,46.5,124,83,66.9,32,1030,Haanif Cheatham,15,41,60000402,419,G,124,2020,1,36,NEBR,99,93,32,34.4,42,234,120,51.3,0.669354856,0.3440860212,0.7155963182,0.5128205419
53,554909,12,1,32,266.6,296.75,266.6,139,65,46.8,21,13,61.9,18,520,Ryan Fazekas,11,39,60000308,190,G-F,43,2020,1,7,VALP,148,95,47,49.5,9,44,18,40.9,0.6190476418,0.4947368503,0.316546768,0.4090909064
54,583548,17,0,14,73.3,83.25,73.3,31,11,35.5,14,9,64.3,3,89,Kendall Small,5,9,60000172,31,G,19,2020,1,6,CHAM,353,0,0,0.0,18,31,11,35.5,0.6428571343,0.0,1.0,0.3548386991
55,554797,162,9,105,817.8,892.75,817.8,323,106,32.8,74,58,78.4,33,1086,Traci Carter,24,112,60000405,320,G,129,2020,1,83,HARTFD,18,140,50,35.7,84,183,56,30.6,0.7837837934,0.3571428657,0.5665634871,0.3060109317
56,557298,48,12,95,543.0,596.5,543.0,227,88,38.8,88,70,79.5,29,924,Drew Edwards,25,78,60000307,286,G,120,2020,1,36,CHARLT,142,113,40,35.4,55,114,48,42.1,0.7954545617,0.3539822996,0.50220263,0.4210526347
57,554786,29,20,131,684.5,735.5,684.5,325,146,44.9,62,38,61.3,31,876,Tevin Mack,29,65,60000365,377,G-F,160,2020,1,34,CLMSN,27,166,47,28.3,36,159,99,62.3,0.6129032373,0.2831325233,0.4892307818,0.6226415038
