Season,Rk,Team,Conf,W,L,AdjEM,AdjO,AdjD,AdjT,Luck,OppAdjEM,OppO,OppD,NCAdjEM
2021,141,Boston College,ACC,0,0,2.79,105.7,102.9,71.2,-0.097,13.34,110.5,97.2,12.73
2021,142,Miami OH,MAC,0,0,2.74,107.1,104.3,66.3,0.013,2.19,104.7,102.5,-1.68
2021,143,California,P12,0,0,2.66,104,101.3,65.2,-0.058,9.91,107.9,98,0.06
2021,144,Ball St.,MAC,0,0,2.65,103.7,101.1,70.9,-0.031,3.68,105.7,102,3.43
2021,145,North Dakota St.,Sum,0,0,2.61,103.6,101,65,-0.033,-0.91,103.5,104.4,9.7
2021,146,Drexel,CAA,0,0,2.54,107.8,105.3,64.3,-0.043,-3.86,100.4,104.3,-6.15
2021,147,Detroit,Horz,0,0,2.49,110.4,107.9,67.5,-0.051,-1.82,103.7,105.5,9.04
2021,148,VMI,SC,0,0,2.35,108.5,106.2,70.3,-0.048,2.34,104.4,102.1,4.73
2021,149,Tulane,Amer,0,0,2.31,98.9,96.6,67.7,-0.013,5.01,103.3,98.3,-15.84
2021,150,Georgia St.,SB,0,0,2.2,106.2,104,70.9,0.076,-2.35,101.2,103.6,4.05
2021,151,Oral Roberts,Sum,0,0,2.12,109.2,107.1,71.9,0.013,-0.53,103,103.5,20.94
2021,152,Stephen F. Austin,Slnd,0,0,2.11,103.9,101.8,70,0.047,-8.62,97.7,106.3,-3.06
2021,153,Old Dominion,CUSA,0,0,2.07,101.6,99.5,67.9,0.159,1.19,102.1,101,4.64
2021,154,Santa Clara,WCC,0,0,1.96,100.4,98.4,70.7,0.147,3.87,103.7,99.9,-0.7
2021,155,Cleveland St.,Horz,0,0,1.96,101.4,99.4,66.4,0.19,-1.78,104.9,106.7,19.51
2021,156,Princeton,Ivy,0,0,1.89,105,103.1,66.9,0,-99,0,200,-99
2021,157,East Carolina,Amer,0,0,1.87,100.3,98.4,68.3,-0.009,4.65,103.6,99,-7.61
2021,158,Chattanooga,SC,0,0,1.83,103.6,101.8,66.8,0.102,-0.06,103.1,103.1,-4.31
2021,159,Navy,Pat,0,0,1.76,104.8,103,66.2,0.179,-5.33,98.1,103.4,6.56
2021,160,UTSA,CUSA,0,0,1.65,107.1,105.5,72.2,0.031,1.42,101.7,100.3,2.52
2021,161,Jacksonville St.,OVC,0,0,1.63,105.7,104,66.2,0.017,-3.33,100.8,104.1,3.64
2021,162,New Mexico St.,WAC,0,0,1.58,103.9,102.3,64.7,-0.096,-4.92,99.7,104.6,-5.98
2021,163,Northern Iowa,MVC,0,0,1.38,103.9,102.5,69.2,-0.022,6.31,104.9,98.6,13.68
2021,164,UNLV,MWC,0,0,1.34,105.2,103.8,66.3,-0.041,4.21,104,99.8,12.15
2021,165,Northeastern,CAA,0,0,1.34,99.3,98,67.4,0.056,2.57,105.1,102.5,14.49
2021,166,UMBC,AE,0,0,1.2,101.3,100.1,67.9,-0.013,-5.09,98.7,103.8,-4.03
2021,167,Kansas St.,B12,0,0,1.1,99.5,98.4,65.7,0.036,11.94,108.9,96.9,-2.48
2021,168,Murray St.,OVC,0,0,1.05,104,102.9,66.5,-0.177,-5.69,99.4,105.1,-4.33
2021,169,Wake Forest,ACC,0,0,0.87,102.1,101.2,67.3,-0.109,13.21,110.3,97.1,-18.89
2021,170,Bryant,NEC,0,0,0.73,104.5,103.7,73.7,-0.039,-7.97,98.3,106.2,4.15
2021,171,Eastern Kentucky,OVC,0,0,0.71,101.8,101,75.2,0.085,-5.96,99.6,105.5,-8.63
2021,172,Coastal Carolina,SB,0,0,0.71,101,100.3,71,-0.081,-6.72,98.6,105.4,-13.08
2021,173,James Madison,CAA,0,0,0.58,104.1,103.5,72.3,-0.048,-2.66,100.9,103.6,-1.8
2021,174,Harvard,Ivy,0,0,0.56,102.9,102.3,68.4,0,-99,0,200,-99
2021,175,Washington,P12,0,0,0.53,102.6,102.1,71.4,-0.061,12.85,109.4,96.6,9.33
2021,176,South Dakota,Sum,0,0,0.48,107.2,106.7,69.3,-0.015,-1.81,102.5,104.3,9.25
2021,177,Sam Houston St.,Slnd,0,0,0.44,101.7,101.2,71.5,0.117,-3.15,100.4,103.5,14.66
2021,178,Iowa St.,B12,0,0,0.37,100.5,100.2,70.3,-0.12,16.03,111,95,2.76
2021,179,Wyoming,MWC,0,0,0.36,109.2,108.8,69.7,0.066,-0.67,101.4,102.1,-14.33
2021,180,Gardner Webb,BSth,0,0,0.1,105.1,105,67,-0.165,-4.41,100.2,104.6,11.94
2021,181,South Florida,Amer,0,0,0.06,100.5,100.5,66.9,0.047,8.87,105.7,96.8,1.46
2021,182,Bellarmine,ASun,0,0,-0.13,108.1,108.3,64.8,-0.014,-6.04,99.3,105.4,6.75
2021,183,Florida Atlantic,CUSA,0,0,-0.4,102.1,102.5,68.4,-0.084,-3.21,100.7,103.9,-1.16
2021,184,Texas St.,SB,0,0,-0.42,100,100.4,62.8,0.072,-7.01,98.2,105.2,-9.53
2021,185,Siena,MAAC,0,0,-0.83,100.4,101.2,66.5,-0.057,-8,96.5,104.5,-99
2021,186,Rice,CUSA,0,0,-1.02,104.5,105.5,69.8,0.046,1.02,101.6,100.6,-12.67
2021,187,Iona,MAAC,0,0,-1.07,101.3,102.4,68.4,0.015,-7.61,97.2,104.9,-1.78
2021,188,Fresno St.,MWC,0,0,-1.13,100.5,101.6,66.1,0.076,3.69,104.1,100.4,-99
2021,189,Hofstra,CAA,0,0,-1.15,106.5,107.7,68.4,0.052,-1.81,101.5,103.4,4.39
